BSCC_CODE	BSCC_NAME
3300110	0251_Retail_GUJ_AHM_JupiterHouse
8252	8252_Ambasamudram_Branch
3100201	0627_Retail_CG_Supela
4102824	1660_Retail_AP_HYD_CreditHub
3300124	0083_Retail_GUJ_AHM_StateOffice
5200602	1368_Retail_ORS_Cuttack
3505202	0978_Retail_MH_Satara
4105701	1503_Retail_AP_Palakollu
3503703	4020_ABF_MH_Nanded ( W )
3501001	8134_Rural_MH_Amravati
4108901	0337_Retail_AP_HYD_LashkarBazar
3503552	9991_Central_MH_BOM_The Hub,India Bulls Centre
4102815	0110_Retail_AP_HYD_OSSAvenue
4100602	0921_Retail_AP_Anantapur
1703902	0381_Retail_RAJ_UDP_KhimesraTower
5200601	1367_Retail_ORS_Cuttack
3305601	8202_GUJ_Rural_Bodeli
1200107	1730_Retail_DEL
3503509	0679_Retail_MH_BOM_LowerParel
4508904	8212_TN_Rural_Rajapalayam
4501035	1657_Retail_TN_CHN_Perambur_CreditHub
3402801	1284_Retail_MP_Singrauli
1601802	0688_Retail_PUN_Khanna_GTRd
4202601	8120_Rural_KRN_Haveri
3400701	0553_Retail_MP_Dewas
1702501	8004_Rural_RAJ_Khairtal
3504634	1702_Retail_MH_Pune_CollHub_Shivaji Nagar
4202401	8128_Rural_KRN_DAV_Harapanahalli
1700301	1308_Retail_Balotra
1702305	1715_Retail_RAJ_Jodhpur
1800503	1044_Retail_UP_BAR_Bareilly
4507603	0490_Retail_TN_TIR_KoushikanCmplx
3100702	1188_Retail_CG_Raigarh
4500301	8045_Rural_TN_Annur
3503611	4009_ABF_MH_Nagpur ( W )
4104301	0655_Retail_AP_MAC_Robertsonpet
3502502	4509_Rural_MH_Ichalkaranji
3504011	8209_MH_Rural_Satana
1703303	8117_Rural_RAJ_Rajsamand
5301519	0995_Retail_WB_KOL_Sodepur
4201101	1229_Retail_KRN_Chikmagalur
3501802	1069_Retail_MH_CHA_Chandarpur
1802802	0752_Retail_UP_Moradabad
3503536	0999_Central_MH_BOM_Corp Off
1802702	0542_Retail_UP_MEE_ShreeRamPlaza
4204601	0917_Retail_KRN_Ranibennur
1600501	0544_Retail_PUN_BAT_GonianaRd
5301526	1261_Retail_WB_Kolkata
5301524	1260_Retail_WB_Kolkata
4102802	0023_Retail_AP_HYD_SRNagar
3400201	0341_Retail_MP_BHO_MansarovarCommCmplx
1301201	0611_Retail_HYN_SON_PawanMegaMall
4200601	8125_Rural_KRN_Bhadravati
4205701	8156_Rural_KRN_Holenarasipur
3403002	0473_Retail_MP_UJJ_BadaTeliWada
1301003	4028_ABF_Delhi ( N )
3401103	8146_Rural_MP_Hoshangabad
3402002	4018_ABF_MP_Neemach ( W )
3502902	8133_Rural_MH_Khamgaon
1600401	1019_Retail_PUN_BAT_UrbanEstate
4102813	0108_Retail_AP_HYD_AmberpetMainRd
3302901	8084_Rural_GUJ_Khambat
4100501	0685_Retail_AP_ANA_ManoharArcade
1300502	0557_Retail_HYN_HIS_RedSquareMkt
1601503	0113_Retail_PUN_JAL_LadowaliRd
3304505	1738_Retail_GUJ_Rajkot_Mort
3302002	8086_Rural_GUJ_Godhra
4204001	8121_Rural_KRN_BEL_Munavalli
4108603	0510_Retail_AP_VKP_SuryaBagh
1703501	8113_Rural_RAJ_Shahpura
3301601	8112_Rural_GUJ_Dehgam
4501802	0764_Retail_TN_Dindigul
4507611	8214_TN_Rural_Surandai
3100901	0020_Retail_CG_Rajnandgaon
1200101	0061_Retail_DEL_JanakPuri
3501301	0211_Retail_MH_BEA_BusStand
4107501	0683_Retail_AP_SRI_KrishnaPark
3301902	8200_GUJ_Rural_Mansa
1600202	0353_Retail_PUN_AMR_LowerGrndFlr
3403001	0331_Retail_MP_UJJ_PednekarsEstate
3300115	1736_Retail_GUJ_Ahmedabad_Mort
1702010	1147_Retail_RAJ_JPR_Jaipur
3503511	1012_Retail_MH_BOM_Parel Main Branch
1600502	0660_Retail_PUN_BAT_MallRd
3503519	4005_ABF_MH_Mumbai ( W )
1100112	4517_ABF_CDG_Chandigarh
4508501	8141_Rural_TN_Vellakoil
3503531	1251_Retail_MH_BOM_Narshi Natha
4200312	1371_ABF_KRN_Bangalore ( S )
1300901	1787_Retail_HYN_Rewari
3401212	0664_Retail_MP_Indore_StateOffc
3401501	0207_Retail_MP_Katni_KamaniaGate
4106801	8024_Rural_AP_Ravulapalem
4106901	8039_Rural_AP_Razole
4501307	1742_Retail_TN_Coimbatore_Mort
4205404	8196_KRN_Rural_Tumkur
5301401	1406_Retail_WB_Kharagpur
4506701	0674_Retail_TN_SIV_PKNRd
1702601	0584_Retail_RAJ_Kishangarh
4108602	0296_Retail_AP_VKP_DwarkaNgr
3301301	8116_Rural_GUJ_Dabhoi
3305301	0552_Retail_GUJ_VAP_ImranNgr
3302202	8115_Rural_GUJ_HIM_Himmatnagar
1802101	0541_Retail_HYN_Kurukshetra
1301001	0373_Retail_HYN_ROH_AmarArcade
1800701	1238_Retail_UP_Deoria
3100801	0327_Retail_CG_RAI_ShankarNgr
4501029	4515_ABF_TN_Chennai ( S )
3501201	8094_Rural_MH_Barshi
4108903	0799_Retail_AP_WAR_MayuriMansion
4106601	8026_Rural_AP_Ramchandrapuram
4107502	1036_Retail_AP_Srikakulam
8250_Singh	8250_Singhana Branch
3402405	8184_MP_Rural_Banda
1703603	8073_Rural_RAJ_Sikar
3503101	8033_Rural_MH_Kopargaon
4102818	1733_Retail_AP_HYD_Mort
3503702	0718_Retail_MH_Nanded
4200315	1708_Retail_KRN_BLR_VijayNagar
1702801	8056_Rural_RAJ_Kotputli
3402502	0758_Retail_MP_SAT_ShilpaCmplx
4506401	0131_Retail_TN_SAL_RajajiRd
4202301	0157_Retail_KRN_GUL_SuperMktArea
4102504	0509_Retail_AP_GUN_AnvithaCmplx
4505801	0181_Retail_TN_POL_VenkataramananSt
1900102	0384_Retail_UTC_DEH_ConnaughtPlace
3503596	1876_Urban_Operation_Hub
4103401	0563_Retail_AP_KAK_SubhashRd
3500301	8006_Rural_MH_Akluj
3303201	8097_Rural_GUJ_Lunavada
4205005	8154_Rural_KRN_Shimoga
4200502	8198_KRN_Rural_Hospet
5302604	1323_Retail_WB_Darjeeling
1900601	1181_Retail_UTC_Rishikesh
4102002	1218_Retail_AP_Eluru
3503597	8216_Rural_Operation_Hub
4106402	0269_Retail_AP_RAJ_SeviAlankarCmplx
3302701	8065_Rural_GUJ_Kapadvanj
4502901	8058_Rural_TN_Kinathukadavu
1300401	0006_Retail_HYN_GUR_Sec-14
1600701	0672_Retail_PUN_CHA_SainikCmplx
1100104	0224_Retail_Regional_Chandigarh ( N )
3400901	0436_Retail_MP_GWA_ChandarkarBhada
3200201	0643_Retail_Goa_NewMkt_PNB
4105202	1007_Retail_AP_Nellore
1700401	1153_Retail_RAJ_BAN_Banswara
1703904	4024_ABF_RAJ_UDP_North
3402003	1189_Retail_MP_Neemach
3100502	1160_1160_Retail_CTG_DUR_Durg
3304502	0128_Retail_GUJ_Rajkot
4200401	0338_Retail_KRN_Belgaum
1702014	4013_ABF_RAJ_JPR_North
1200104	0119_Retail_DEL_AshokVihar
4205601	8155_Rural_KA_Hassan
3303901	0574_Retail_GUJ_NAV_SayajiRd
4204102	0339_Retail_KRN_MYS_VinodaComplex
3503522	9982_SME_MH_BOM_Central
3401601	1266_Retail_MP_Khandawa_Main Road
4506002	8175_Rural_TN_Rajapalayam
4201802	8123_Rural_KRN_Gadag
1100101	0062_Retail_CDG_MadhyaMarg
4203003	4500_Rural_KRN_Hubli
3300133	8203_GUJ_Rural_Ognaj
3403301	8149_Rural_MP_Pipariya
3304601	8091_Rural_GUJ_Santrampur
1301301	0536_Retail_HYN_YAM_GobindPuriRd
1703203	8188_RAJ_Rural_Pali
4502701	8090_Rural_TN_COI_Karamadai
3505602	0556_Retail_MH_SOL_QuillaRd
4108502	0031_Retail_AP_VIJ_VinayakTheatre
1703901	0070_Retail_RAJ_UDP_Panchwati
5301522	0234_Retail_WB_Kolkata_Regional ( E )
3403601	8178_MP_Rural_Khargaon
1803301	1173_Retail_UTC_Roorkee
1701005	8187_RAJ_Rural_Mandal (Bhilwada)
4201602	0452_Retail_KRN_Davangere
1600601	0986_Retail_HYN_BHI_Bhiwani
1100113	1870_CR HUB_CHD
4102821	8103_Rural_AP_HYD_Regional ( S )
1602302	0186_Retail_CHD_MOH_Sec70
4104101	1509_Retail_AP_Kodad
3506501	8162_Rural_MH_Parthwada
4204801	8013_Rural_KRN_Sankeshwar
3503605	0518_Retail_MH_NGP_GandhiGrainMkt
1802501	0191_Retail_UP_MAT_AmbeyCrown
3304401	8145_Rural_GUJ_Prantij
4200352	1869_Retail_KA_Bangalore
1703702	1157_Retail_RAJ_Ganganagar
3503401	8092_Rural_MH_Rajgurunagar
4205501	0138_Retail_KRN_UDI_CourtRd
1703601	0614_Retail_RAJ_Sikar
4500701	8046_Rural_TN_Attur
1603101	0545_Retail_PUN_ROP_BayantSingh
5301509	0532_Retail_WB_KOL_DiamondHarborRd
3503538	0907_Central_MH_BOM_Andheri_Guest House
8233_Gubbi	8233_Gubbi Branch
1801401	0172_Retail_UP_GOR_Gorakhpur
1801902	0617_Retail_UP_KAN_GTRd
4205002	0625_Retail_KRN_SHI_NehruRd
3401101	1336_Retail_MP_Hoshangabad
4504504	8210_TN_Rural_Velakavundanpatti
1400301	1247_Retail_HP_Mandi
3200303	1784_Retail_Goa_Panjim
3301001	8104_Rural_GUJ_Borsad
3304301	8079_Rural_GUJ_Petlad
4503609	8211_TN_Rural_Tirumangalam
1802701	0169_Retail_UP_MEE_SotiGanj
3503521	9981_Rural_MH_BOM_Central
3503901	8047_Rural_MH_Narayangaon
4107301	0132_Retail_AP_HYD_Trimulgherry
1600201	0270_Retail_PUN_AMR_GreenAvenue
5100601	1860_Retail_JHK_Ranchi
4301501	0540_Retail_KER_Thrissur
3503543	9990_Central_MH_BOM_Powai Office
1400401	0358_Retail_HP_SHI_SDACommCmplx
3305108	1873_CR HUB_Baroda
1701001	0419_Retail_RAJ_BHI_NagarParishad
1802502	0723_Retail_UP_MAT_AmbeyCrown
4506301	8029_Rural_TN_Rasipuram
4503603	0263_Retail_TN_MAD_AARd_Gananaolivupuram
3401217	1871_CR_HUB_Indore
1704301	8171_Rural_RAJ_Chaksu
3401401	0330_Retail_MP_JAB_KhanujaComplex
3403602	8180_MP_Rural_Barud
4107303	1704_Retail_AP_HYD_Himayatnagar
1702016	1703_Retail_RAJ_Jaipur_CollHub Ganpati Plaza
4108301	0326_Retail _AP_TIR_Rayalcheruvu
5301515	0713_Retail_WB_KOL_RdNo5_BarastRd
4203401	8110_Rural_KRN_Kittur
3305101	0073_Retail_GUJ_BAR_SadarBazar
4204501	8048_Rural_KRN_Ramadurg
1704501	8173_Rural_RAJ_Phulera
4502402	1075_Retail_TN_Kancheepuram
3401903	8182_MP_Rural_Kareli
4106001	1360_Retail_AP_Pitapuram
4502802	0767_Retail_TN_Karur
1802412	1149_Retail_UP_Lucknow
1700201	0279_Retail_RAJ_ALW_BusStandRd
4503302	0974_Retail_TN_Kumbakkonam
4204901	8106_Rural_KRN_Shiggaon
3401303	8147_Rural_MP_Gairatganj
4504701	1293_Retail_TN_Ooty
3403103	8151_Rural_MP_Sagar
1900302	1027_Retail_UTC_Haridwar
4108902	0590_Retail_AP_WAR_WarangalChowraha
4505902	0977_Retail_TN_Pudukottai
